from,to,weight,season
fsv mainz,1,50,2021
1,deutschland,,
vejle bk,19,45,2021
19,daenemark,afghanistan,
sc paderborn,22,25,2021
22,deutschland,,
as monaco,8,18,2021
8,frankreich,martinique,
juventus u23,32,15,2021
32,frankreich,komoren
sporting,18,5,2022
18,portugal,,
jubilo iwata,37,1,2021
37,japan,,
fenerbahce,34,,2021
34,tuerkei,,
vfl wolfsburg,17,,2021
17,aegypten,kanada
vfb ii,44,,2021
44,niderlande,sierra leone,
vfb u19,50,,2022
50,frankreich,kamerun,
vfb ii,42,,2021
42,deutschland,,
sv sandhausen,28,,2021
28,daenemark,ghana,
fc nuernberg,33,3,2019
33,deutschland,,
fc arsenal,5,8,2020
5,griechenland,,
hannover 96,2,40,2020
2,deutschland,usbekistan,
dinamo zagreb,24,60,2018
24,kroatien,deutschland
sc freiburg,15,13,2020
15,deutschland,,
hamburger sv,23,,2019
23,belgien,dr kongo,
vv st truiden,3,17,2020
3,japan,,
holstein kiel,16,8,2019
16,deutschland,,
chelsea u23,6,4,2020
6,england,dr kongo,
paris fc,14,80,2019
14,dr kongo,,
arm bielefeld,30,,2019
30,deutschland,italien,
f duesseldorf,11,,2020
11,deutschland,,
sv sandhausen,20,30,2019
20,deutschland,,
instituto ac,31,17,2019
31,deutschland,argentinien,
vfb u19,25,,2020
25,deutschland,,
vfl wolfsburg,10,,2018
10,deutschland,benin,
paris sg,7,,2019
7,frankreich,elfenbeinkueste,
admira wacker,9,18,2019
9,oesterreich,serbien,

