from,to,weight,season
fsv mainz,1,50,2021
1,deutschland,,
vejle bk,19,45,2021
19,daenemark,afghanistan,
sc paderborn,22,25,2021
22,deutschland,,
as monaco,8,18,2021
8,frankreich,martinique,
juventus u23,32,15,2021
32,frankreich,komoren,
sporting,18,5,2022
18,portugal,,
jubilo iwata,37,1,2021
37,japan,,
fenerbahce,34,,2021
34,tuerkei,,
vfl wolfsburg,17,,2021
17,aegypten,kanada,
vfb ii,44,,2021
44,niderlande,sierra leone,
vfb u19,50,,2022
50,frankreich,kamerun,
vfb ii,42,,2021
42,deutschland,,
sv sandhausen,28,,2021
28,daenemark,ghana,
