id,name,country,type
1,florian mueller,deutschland,1
fsv mainz,fsv mainz,deutschland,2
19,wahid faghir,daenemark,1
afghanistan,,,
vejle bk,vejle bk,daenemark,2
22,chris fuehrich,deutschland,1
sc paderborn,sc paderborn,deutschland,2
8,enzo millot,frankreich,1
martinique,,,
as monaco,as monaco,monaco,2
32,naouirou ahamada,frankreich,1
komoren,,,
juventus u23,juventus u23,italien,2
18,tiago tomas,portugal,1
sporting,sporting,portugal,2
37,hiroki ito,japan,1
jubilo iwata,jubilo iwata,japan,2
34,oemer beyaz,tuerkei,1
fenerbahce,fenerbahce,tuerkei,2
17,omar marmoush,aegypten,1
kanada,,,
vfl wolfsburg,vfl wolfsburg,deutschland,2
44,mohamed sankoh,niderlande,1
sierra leone,,,
vfb ii,vfb ii,deutschland,2
50,alexis tibidi,frankreich,1
kamerun,,,
vfb u19,vfb u19,deutschland,2
42,florian schock,deutschland,1
28,nikolas nartey,daenemark,1
ghana,,,
sv sandhausen,sv sandhausen,deutschland,2
33,fabian bredlow,deutschland,1
fc nuernberg,fc nuernberg,deutschland,2
5,konstantinos mavropanos,griechenland,1
fc arsenal,fc arsenal,england,2
2,waldemar anton,deutschland,1
usbekistan,,,
hannover 96,hannover 96,deutschland,2
24,borna sosa,kroatien,1
dinamo zagreb,dinamo zagreb,kroatien,2
15,pascal stenzel,deutschland,1
sc freiburg,sc freiburg,deutschland,2
23,orel mangala,belgien,1
dr kongo,,,
hamburger sv,hamburger sv,deutschland,2
3,wataru endo,japan,1
vv st truiden,vv st truiden,belgien,2
16,atakan karazor,deutschland,1
holstein kiel,holstein kiel,deutschland,2
6,clinton mola,england,1
chelsea u23,chelsea u23,england,2
14,silas,dr kongo,1
paris fc,paris fc,frankreich,2
30,roberto massimo,deutschland,1
italien,,,
arm bielefeld,arm bielefeld,deutschland,2
11,erik thommy,deutschland,1
f duesseldorf,f duesseldorf,deutschland,2
20,philipp foerster,deutschland,1
31,mateo klimowicz,deutschland,1
argentinien,,,
instituto ac,instituto ac,argentinien,2
25,lilian egloff,deutschland,1
10,daniel didavi,deutschland,1
benin,,,
7,tanguy coulibaly,frankreich,1
elfenbeinkueste,,,
paris sg,paris sg,frankreich,2
9,sasa kalajdzic,oesterreich,1
serbien,,,
admira wacker,admira wacker,serbien,2
50,,,
45,,,
13,,,
25,,,
18,,,
15,,,
5,,,
1,,,
17,,,
3,,,
80,,,
30,,,
8,,,
4,,,
40,,,
60,,,
2018,,,
2021,,,
2022,,,
2019,,,
2020,,,
