id,name,country,type
1,florian mueller,deutschland,1
fsv mainz,fsv mainz,deutschland,2
19,wahid faghir,daenemark,1
afghanistan,,,
vejle bk,vejle bk,daenemark,2
22,chris fuehrich,deutschland,1
sc paderborn,sc paderborn,deutschland,2
8,enzo millot,frankreich,1
martinique,,,
as monaco,as monaco,monaco,2
32,naouirou ahamada,frankreich,1
komoren,,,
juventus u23,juventus u23,italien,2
18,tiago tomas,portugal,1
sporting,sporting,portugal,2
37,hiroki ito,japan,1
jubilo iwata,jubilo iwata,japan,2
34,oemer beyaz,tuerkei,1
fenerbahce,fenerbahce,tuerkei,2
17,omar marmoush,aegypten,1
kanada,,,
vfl wolfsburg,vfl wolfsburg,deutschland,2
44,mohamed sankoh,niderlande,1
sierra leone,,,
vfb ii,vfb ii,deutschland,2
50,alexis tibidi,frankreich,1
kamerun,,,
vfb u19,vfb u19,deutschland,2
42,florian schock,deutschland,1
28,nikolas nartey,daenemark,1
ghana,,,
sv sandhausen,sv sandhausen,deutschland,2



